#line	 EW
3554.0	 270.95954752358097
3650.15	 270.95954752358097
3663.28	 270.95954752358097
4046.56	 270.95954752358097
4077.84	 270.95954752358097
4104.0	 270.95954752358097
4358.34	 270.95954752358097
4511.37	 270.95954752358097
4538.3	 270.95954752358097
4664.81	 270.95954752358097
4668.56	 270.95954752358097
4670.83	 270.95954752358097
4753.17	 270.95954752358097
4978.54	 270.95954752358097
4982.81	 270.95954752358097
5085.0	 270.95954752358097
5148.84	 270.95954752358097
5153.4	 270.95954752358097
5156.99	 270.95954752358097
5196.0	 270.95954752358097
5349.71	 270.95954752358097
5354.03	 270.95954752358097
5355.79	 270.95954752358097
5356.1	 270.95954752358097
5418.02	 270.95954752358097
5460.75	 270.95954752358097
5577.34	 270.95954752358097
5668.75	 270.95954752358097
5671.83	 270.95954752358097
5675.81	 270.95954752358097
5682.63	 270.95954752358097
5688.21	 270.95954752358097
5769.61	 270.95954752358097
5790.67	 270.95954752358097
5889.95	 270.95954752358097
5895.92	 270.95954752358097
6113.47	 270.95954752358097
6154.23	 270.95954752358097
6160.75	 270.95954752358097
6230.0	 270.95954752358097
6300.3	 270.95954752358097
6370.0	 270.95954752358097
