#line	 EW
4046.56	 617.9991794501561
4077.84	 617.9991794501561
4100.32	 617.9991794501561
4163.59	 617.9991794501561
4358.34	 617.9991794501561
4420.0	 617.9991794501561
4423.0	 617.9991794501561
4511.37	 617.9991794501561
4538.3	 617.9991794501561
4664.81	 617.9991794501561
4668.56	 617.9991794501561
4670.83	 617.9991794501561
4753.17	 617.9991794501561
4827.0	 617.9991794501561
4832.0	 617.9991794501561
4916.07	 617.9991794501561
4978.54	 617.9991794501561
4982.81	 617.9991794501561
5085.0	 617.9991794501561
5148.84	 617.9991794501561
5153.4	 617.9991794501561
5156.99	 617.9991794501561
5199.0	 617.9991794501561
5349.71	 617.9991794501561
5354.03	 617.9991794501561
5355.79	 617.9991794501561
5356.1	 617.9991794501561
5372.36	 617.9991794501561
5418.02	 617.9991794501561
5438.3	 617.9991794501561
5460.75	 617.9991794501561
5577.34	 617.9991794501561
5671.83	 617.9991794501561
5688.21	 617.9991794501561
5769.61	 617.9991794501561
5790.67	 617.9991794501561
5889.95	 617.9991794501561
5895.92	 617.9991794501561
6113.47	 617.9991794501561
6154.23	 617.9991794501561
6160.75	 617.9991794501561
6230.0	 617.9991794501561
6300.3	 617.9991794501561
6358.0	 617.9991794501561
6708.0	 617.9991794501561
