#line	 EW
3554.0	 206.99606754372348
3650.15	 206.99606754372348
3663.28	 206.99606754372348
3780.0	 206.99606754372348
4046.56	 206.99606754372348
4077.84	 206.99606754372348
4100.32	 206.99606754372348
4163.59	 206.99606754372348
4358.34	 206.99606754372348
4420.0	 206.99606754372348
4423.0	 206.99606754372348
4511.37	 206.99606754372348
4538.3	 206.99606754372348
4664.81	 206.99606754372348
4668.56	 206.99606754372348
4670.83	 206.99606754372348
4753.17	 206.99606754372348
4827.0	 206.99606754372348
4832.0	 206.99606754372348
4916.07	 206.99606754372348
4978.54	 206.99606754372348
4982.81	 206.99606754372348
5085.0	 206.99606754372348
5148.84	 206.99606754372348
5153.4	 206.99606754372348
5156.99	 206.99606754372348
5199.0	 206.99606754372348
5349.71	 206.99606754372348
5354.03	 206.99606754372348
5355.79	 206.99606754372348
5356.1	 206.99606754372348
5372.36	 206.99606754372348
5418.02	 206.99606754372348
5438.3	 206.99606754372348
5460.75	 206.99606754372348
5577.34	 206.99606754372348
5671.83	 206.99606754372348
5688.21	 206.99606754372348
5769.61	 206.99606754372348
5790.67	 206.99606754372348
5889.95	 206.99606754372348
5895.92	 206.99606754372348
6113.47	 206.99606754372348
6154.23	 206.99606754372348
6160.75	 206.99606754372348
6230.0	 206.99606754372348
6300.3	 206.99606754372348
6358.0	 206.99606754372348
6708.0	 206.99606754372348
