#line	 EW
3650.15	 11.51788979646818
3663.28	 11.522617660762009
4046.56	 9.339609710037971
4077.84	 0.9047361352730259
4358.34	 8.465912908929306
4511.37	 2.475052698626376
4538.3	 2.4752525887872063
4664.81	 1.4895839921531273
4668.56	 1.4895839921531273
4670.83	 1.4895839921531273
4753.17	 0.0486561501952671
4978.54	 7.714193868627653
4982.81	 7.714193868627653
5148.84	 1.355164074500931
5153.4	 1.355164074500931
5156.99	 1.355164074500931
5349.71	 2.132784881515444
5354.03	 2.132784881515444
5355.79	 2.132784881515444
5356.1	 2.132784881515444
5418.02	 5.367087011500097
5460.75	 5.3671177053196235
5577.34	 17.236276209658335
5668.75	 11.124388060358726
5671.83	 11.124388060358726
5675.81	 11.124388060358726
5682.63	 11.124663775556716
5688.21	 11.12438305351164
5769.61	 0.3764341283868651
5790.67	 0.30055613529650793
5889.95	 3.082583900492758
5895.92	 3.082430314492601
6113.47	 1.87451099976407
6154.23	 1.6403707603621438
6160.75	 1.6404105538856615
6300.3	 2.321213411439474
